state,year,month_name,pollutant_value,temperature,humidity,wind_speed,precipitation_total
Kelantan,2017,October,23.528073916133618,27.32777777777778,85.51388888888889,7.761111111111111,
Kelantan,2017,September,17.756656804733726,27.127604166666668,84.34635416666667,7.5859375,
Kelantan,2018,April,28.232040229885058,27.9,83.10694444444445,9.279166666666667,
Kelantan,2018,August,48.10405405405405,28.346099290780142,81.28085106382979,7.015602836879433,
Kelantan,2018,December,36.76008064516129,26.40700808625337,88.73045822102426,7.204851752021563,
Kelantan,2018,February,35.47996589940324,26.005221932114882,79.8537859007833,12.169712793733682,
Kelantan,2018,January,22.45177304964539,26.069444444444443,89.21111111111111,7.588888888888889,
Kelantan,2018,July,28.615490061686085,28.25414364640884,80.91988950276243,7.302486187845304,
Kelantan,2018,June,25.986350574712645,28.42361111111111,80.44166666666666,7.468055555555556,
Kelantan,2018,March,31.23268698060942,27.302083333333332,83.32291666666667,9.121527777777779,
Kelantan,2018,May,23.536388140161726,28.89516129032258,80.73924731182795,7.71505376344086,
Kelantan,2018,November,40.78333333333333,26.8875,86.29166666666667,7.022222222222222,
Kelantan,2018,October,44.0255376344086,27.258064516129032,84.50672043010752,7.485215053763441,
Kelantan,2018,September,42.68727534148095,27.14245810055866,82.79608938547486,7.434357541899441,
Kelantan,2019,April,59.72430555555555,29.270194986072422,76.46100278551532,9.116991643454039,
Kelantan,2019,August,59.89650537634409,28.088709677419356,80.39381720430107,6.600806451612903,
Kelantan,2019,December,53.05119214586255,26.778225806451612,80.47043010752688,13.776881720430108,
Kelantan,2019,February,51.08327024981075,27.211940298507464,79.48358208955224,10.849253731343284,
Kelantan,2019,January,46.60255548083389,26.901881720430108,82.0013440860215,12.01747311827957,
Kelantan,2019,July,58.31317204301075,28.2997311827957,81.39165545087484,6.78494623655914,
Kelantan,2019,June,47.41041666666667,28.097357440890125,84.42420027816412,6.736111111111111,
Kelantan,2019,March,62.34791666666667,27.842741935483872,77.46908602150538,8.461021505376344,
Kelantan,2019,May,49.26209677419355,29.250673854447438,77.35849056603773,7.556603773584905,
Kelantan,2019,November,47.350931677018636,26.866666666666667,85.04861111111111,8.66388888888889,
Kelantan,2019,October,49.59823848238482,27.306451612903224,85.81048387096774,6.653225806451613,
Kelantan,2019,September,64.99513888888889,27.477777777777778,84.15833333333333,6.993055555555555,
Kelantan,2020,April,50.81014492753623,28.75138888888889,80.775,9.390277777777778,
Kelantan,2020,August,56.164095371669006,28.091397849462364,82.19086021505376,6.655913978494624,
Kelantan,2020,December,43.41654978962132,26.294871794871796,87.4326923076923,7.791666666666667,
Kelantan,2020,February,52.71580547112462,27.091954022988507,79.3117816091954,14.382183908045977,
Kelantan,2020,January,53.105890603085555,27.00807537012113,80.92597577388963,11.639300134589503,
Kelantan,2020,July,51.44553644553645,27.946236559139784,80.71102150537635,7.076612903225806,
Kelantan,2020,June,47.47681607418856,28.04044630404463,81.47838214783822,7.058577405857741,
Kelantan,2020,March,57.44776119402985,28.036290322580644,79.22311827956989,9.849462365591398,
Kelantan,2020,May,48.85413744740533,29.481182795698924,80.65053763440861,8.033602150537634,
Kelantan,2020,November,40.7312874251497,27.041666666666668,84.94791666666667,7.583333333333333,
Kelantan,2020,October,43.47424892703863,27.160493827160494,84.70370370370371,6.9300411522633745,
